year,usa_state,number of female workers(in thousands),number of male workers(in thousands),median weekly earnings(female),median weekly earnings(male),standard error of median (female),standard error of median (male),usa_state_code,usa_state_latitude,usa_state_longitude
2020,California,"5,401","7,143",$993 ,"$1,133 ",12,14,CA,36.778261,-119.41793200000001
2015,Colorado,821,"1,074",$779 ,$941 ,17,20,CO,39.550051,-105.782067
2016,Colorado,841,"1,154",$812 ,$967 ,18,20,CO,39.550051,-105.782067
2017,Colorado,854,"1,195",$838 ,$986 ,20,20,CO,39.550051,-105.782067
2018,Colorado,922,"1,221",$908 ,"$1,069 ",18,36,CO,39.550051,-105.782067
2019,Colorado,919,1230,$913 ,"$1,057 ",20,33,CO,39.550051,-105.782067
2020,Colorado,834,"1,174",$966 ,"$1,237 ",24,17,CO,39.550051,-105.782067
2015,Connecticut,586,659,$874 ,"$1,139 ",29,23,CT,41.603221000000005,-73.087749
2016,Connecticut,555,677,$876 ,"$1,164 ",33,35,CT,41.603221000000005,-73.087749
2017,Connecticut,577,713,$938 ,"$1,102 ",40,47,CT,41.603221000000005,-73.087749
2018,Connecticut,597,733,$923 ,"$1,140 ",36,29,CT,41.603221000000005,-73.087749
2019,Connecticut,596,720,$972 ,"$1,136 ",39,38,CT,41.603221000000005,-73.087749
2020,Connecticut,536,684,"$1,166 ","$1,202 ",37,25,CT,41.603221000000005,-73.087749
2015,Delaware,165,180,$740 ,$848 ,17,22,DE,38.910832,-75.52767
2016,Delaware,166,191,$775 ,$902 ,21,27,DE,38.910832,-75.52767
2017,Delaware,160,189,$785 ,$905 ,19,26,DE,38.910832,-75.52767
2018,Delaware,174,192,$789 ,$982 ,28,13,DE,38.910832,-75.52767
2019,Delaware,172,195,$790 ,$954 ,16,29,DE,38.910832,-75.52767
2020,Delaware,168,190,$838 ,"$1,076 ",29,65,DE,38.910832,-75.52767
2015,District of Columbia,147,149,"$1,070 ","$1,224 ",44,41,DC,38.905985,-77.03341800000001
2016,District of Columbia,152,154,"$1,117 ","$1,274 ",28,38,DC,38.905985,-77.03341800000001
2017,District of Columbia,158,153,"$1,191 ","$1,385 ",45,50,DC,38.905985,-77.03341800000001
2018,District of Columbia,160,155,"$1,259 ","$1,445 ",25,35,DC,38.905985,-77.03341800000001
2019,District of Columbia,163,155,"$1,406 ","$1,550 ",45,33,DC,38.905985,-77.03341800000001
2020,District of Columbia,156,155,"$1,506 ","$1,759 ",51,38,DC,38.905985,-77.03341800000001
2015,Florida,"3,041","3,559",$699 ,$800 ,9,16,FL,27.664827000000002,-81.515754
2016,Florida,"3,158","3,641",$701 ,$805 ,10,13,FL,27.664827000000002,-81.515754
2017,Florida,"3,312","3,780",$726 ,$826 ,9,14,FL,27.664827000000002,-81.515754
2018,Florida,"3,357","3,894",$716 ,$867 ,9,13,FL,27.664827000000002,-81.515754
2019,Florida,3497,3979,$759 ,$892 ,9,12,FL,27.664827000000002,-81.515754
2020,Florida,"3,249","3,776",$831 ,$988 ,10,12,FL,27.664827000000002,-81.515754
2015,Georgia,"1,552","1,850",$692 ,$816 ,15,18,GA,32.157435,-82.907123
2016,Georgia,"1,654","1,927",$721 ,$839 ,16,25,GA,32.157435,-82.907123
2017,Georgia,"1,736","1,981",$720 ,$866 ,17,29,GA,32.157435,-82.907123
2018,Georgia,"1,749","2,063",$744 ,$919 ,15,21,GA,32.157435,-82.907123
2019,Georgia,1777,2095,$765 ,$950 ,16,23,GA,32.157435,-82.907123
2020,Georgia,"1,716","1,868",$788 ,"$1,011 ",18,33,GA,32.157435,-82.907123
2015,Hawaii,215,255,$729 ,$829 ,21,30,HI,19.898682,-155.66585700000002
2016,Hawaii,218,276,$718 ,$869 ,21,29,HI,19.898682,-155.66585700000002
2017,Hawaii,234,263,$734 ,$918 ,23,28,HI,19.898682,-155.66585700000002
2018,Hawaii,234,263,$797 ,$965 ,23,31,HI,19.898682,-155.66585700000002
2019,Hawaii,227,251,$847 ,$995 ,20,30,HI,19.898682,-155.66585700000002
2020,Hawaii,196,223,$896 ,"$1,128 ",24,47,HI,19.898682,-155.66585700000002
2015,Idaho,217,312,$654 ,$806 ,12,22,ID,44.068202,-114.74204099999999
2016,Idaho,220,320,$645 ,$843 ,18,19,ID,44.068202,-114.74204099999999
2017,Idaho,230,338,$695 ,$893 ,13,17,ID,44.068202,-114.74204099999999
2018,Idaho,234,348,$702 ,$883 ,17,17,ID,44.068202,-114.74204099999999
2019,Idaho,246,367,$682 ,$919 ,14,20,ID,44.068202,-114.74204099999999
2020,Idaho,239,349,$731 ,$966 ,13,22,ID,44.068202,-114.74204099999999
2015,Illinois,"2,009","2,470",$760 ,$911 ,11,14,IL,40.633125,-89.398528
2016,Illinois,"1,979","2,534",$775 ,$978 ,13,19,IL,40.633125,-89.398528
2017,Illinois,"1,965","2,460",$791 ,"$1,017 ",16,17,IL,40.633125,-89.398528
2018,Illinois,"2,049","2,557",$831 ,"$1,069 ",16,21,IL,40.633125,-89.398528
2019,Illinois,2084,2584,$886 ,"$1,108 ",14,24,IL,40.633125,-89.398528
2020,Illinois,"1,951","2,342",$931 ,"$1,162 ",15,18,IL,40.633125,-89.398528
2015,Indiana,997,"1,287",$687 ,$861 ,23,27,IN,40.551217,-85.602364
2016,Indiana,"1,079","1,322",$702 ,$829 ,22,22,IN,40.551217,-85.602364
2017,Indiana,"1,075","1,350",$708 ,$903 ,19,28,IN,40.551217,-85.602364
2018,Indiana,"1,092","1,425",$726 ,$910 ,21,28,IN,40.551217,-85.602364
2019,Indiana,1084,1397,$726 ,$986 ,18,20,IN,40.551217,-85.602364
2020,Indiana,"1,050","1,328",$801 ,"$1,040 ",21,28,IN,40.551217,-85.602364
2015,Iowa,510,612,$684 ,$870 ,16,25,IA,41.878003,-93.097702
2016,Iowa,528,614,$684 ,$895 ,17,23,IA,41.878003,-93.097702
2017,Iowa,522,645,$738 ,$907 ,17,20,IA,41.878003,-93.097702
2018,Iowa,523,649,$753 ,$977 ,17,27,IA,41.878003,-93.097702
2019,Iowa,573,677,$770 ,$959 ,19,27,IA,41.878003,-93.097702
2020,Iowa,521,638,$854 ,"$1,020 ",16,28,IA,41.878003,-93.097702
2015,Kansas,456,567,$667 ,$870 ,17,21,KS,39.011902,-98.484246
2016,Kansas,460,566,$692 ,$851 ,19,33,KS,39.011902,-98.484246
2017,Kansas,459,581,$749 ,$916 ,20,21,KS,39.011902,-98.484246
2018,Kansas,467,593,$753 ,$908 ,21,24,KS,39.011902,-98.484246
2019,Kansas,482,579,$733 ,$945 ,17,21,KS,39.011902,-98.484246
2020,Kansas,457,586,$810 ,$962 ,21,23,KS,39.011902,-98.484246
2015,Kentucky,637,755,$685 ,$849 ,17,25,KY,37.839333,-84.27001800000001
2016,Kentucky,650,763,$711 ,$828 ,19,29,KY,37.839333,-84.27001800000001
2017,Kentucky,676,801,$673 ,$834 ,20,30,KY,37.839333,-84.27001800000001
2018,Kentucky,691,820,$696 ,$847 ,20,24,KY,37.839333,-84.27001800000001
2019,Kentucky,654,831,$724 ,$914 ,17,22,KY,37.839333,-84.27001800000001
2020,Kentucky,656,783,$737 ,$960 ,16,23,KY,37.839333,-84.27001800000001
2015,Louisiana,716,843,$630 ,$828 ,17,27,LA,31.244822999999997,-92.14502399999999
2016,Louisiana,704,813,$659 ,$863 ,21,28,LA,31.244822999999997,-92.14502399999999
2017,Louisiana,673,825,$686 ,$886 ,20,26,LA,31.244822999999997,-92.14502399999999
2018,Louisiana,690,808,$698 ,$918 ,19,21,LA,31.244822999999997,-92.14502399999999
2019,Louisiana,710,814,$720 ,$978 ,19,29,LA,31.244822999999997,-92.14502399999999
2020,Louisiana,693,764,$760 ,"$1,024 ",26,35,LA,31.244822999999997,-92.14502399999999
2015,Maine,194,229,$711 ,$889 ,19,31,ME,45.253783,-69.44546899999999
2016,Maine,194,244,$754 ,$900 ,17,28,ME,45.253783,-69.44546899999999
2017,Maine,201,244,$760 ,$911 ,23,22,ME,45.253783,-69.44546899999999
2018,Maine,209,241,$814 ,$934 ,21,34,ME,45.253783,-69.44546899999999
2019,Maine,210,252,$772 ,$980 ,17,33,ME,45.253783,-69.44546899999999
2020,Maine,206,245,$794 ,"$1,036 ",22,38,ME,45.253783,-69.44546899999999
2015,Maryland,"1,117","1,208",$884 ,"$1,055 ",43,28,MD,39.045755,-76.641271
2016,Maryland,"1,120","1,266",$915 ,"$1,048 ",30,50,MD,39.045755,-76.641271
2017,Maryland,"1,041","1,254",$959 ,"$1,131 ",37,41,MD,39.045755,-76.641271
2018,Maryland,"1,085","1,268",$950 ,"$1,147 ",39,35,MD,39.045755,-76.641271
2019,Maryland,1180,1301,"$1,017 ","$1,142 ",30,28,MD,39.045755,-76.641271
2020,Maryland,"1,104","1,175","$1,074 ","$1,248 ",51,39,MD,39.045755,-76.641271
2015,Massachusetts,"1,076","1,347",$907 ,"$1,112 ",21,39,MA,42.407211,-71.382437
2016,Massachusetts,"1,114","1,390",$932 ,"$1,105 ",17,21,MA,42.407211,-71.382437
2017,Massachusetts,"1,157","1,440",$971 ,"$1,204 ",18,32,MA,42.407211,-71.382437
2018,Massachusetts,"1,231","1,473",$995 ,"$1,170 ",17,22,MA,42.407211,-71.382437
2019,Massachusetts,1256,1476,"$1,012 ","$1,170 ",18,20,MA,42.407211,-71.382437
2020,Massachusetts,"1,114","1,314","$1,115 ","$1,356 ",26,16,MA,42.407211,-71.382437
2015,Michigan,"1,389","1,815",$715 ,$931 ,14,19,MI,44.314844,-85.602364
2016,Michigan,"1,438","1,822",$742 ,$932 ,12,16,MI,44.314844,-85.602364
2017,Michigan,"1,455","1,950",$765 ,$928 ,12,17,MI,44.314844,-85.602364
2018,Michigan,"1,483","1,952",$811 ,$987 ,17,17,MI,44.314844,-85.602364
2019,Michigan,1540,1931,$803 ,"$1,010 ",18,14,MI,44.314844,-85.602364
2020,Michigan,"1,500","1,777",$897 ,"$1,113 ",17,19,MI,44.314844,-85.602364
2015,Minnesota,897,"1,123",$786 ,$954 ,26,26,MN,46.729553,-94.6859
2016,Minnesota,901,"1,134",$849 ,"$1,020 ",25,28,MN,46.729553,-94.6859
2017,Minnesota,937,"1,191",$844 ,"$1,026 ",26,24,MN,46.729553,-94.6859
2018,Minnesota,948,"1,135",$937 ,"$1,096 ",32,43,MN,46.729553,-94.6859
2019,Minnesota,934,1127,$909 ,"$1,104 ",20,25,MN,46.729553,-94.6859
2020,Minnesota,914,"1,126",$984 ,"$1,147 ",16,17,MN,46.729553,-94.6859
2015,Mississippi,438,485,$591 ,$772 ,14,20,MS,32.354668,-89.398528
2016,Mississippi,452,490,$624 ,$778 ,18,26,MS,32.354668,-89.398528
2017,Mississippi,454,490,$643 ,$794 ,18,25,MS,32.354668,-89.398528
2018,Mississippi,458,506,$637 ,$831 ,19,23,MS,32.354668,-89.398528
2019,Mississippi,453,493,$669 ,$830 ,21,26,MS,32.354668,-89.398528
2020,Mississippi,432,461,$675 ,$878 ,23,27,MS,32.354668,-89.398528
2015,Missouri,"1,006","1,162",$667 ,$863 ,14,22,MO,37.964253,-91.83183299999999
2016,Missouri,"1,021","1,178",$703 ,$885 ,23,29,MO,37.964253,-91.83183299999999
2017,Missouri,"1,006","1,160",$733 ,$925 ,20,27,MO,37.964253,-91.83183299999999
2018,Missouri,"1,013","1,177",$763 ,$946 ,24,28,MO,37.964253,-91.83183299999999
2019,Missouri,1028,1178,$786 ,"$1,008 ",18,24,MO,37.964253,-91.83183299999999
2020,Missouri,979,"1,115",$807 ,"$1,026 ",17,30,MO,37.964253,-91.83183299999999
2015,Montana,147,182,$660 ,$794 ,17,24,MT,46.879682,-110.36256599999999
2016,Montana,138,176,$705 ,$866 ,19,23,MT,46.879682,-110.36256599999999
2017,Montana,135,185,$713 ,$883 ,15,22,MT,46.879682,-110.36256599999999
2018,Montana,143,187,$722 ,$918 ,19,22,MT,46.879682,-110.36256599999999
2019,Montana,148,191,$739 ,$952 ,14,21,MT,46.879682,-110.36256599999999
2020,Montana,142,183,$771 ,$955 ,19,26,MT,46.879682,-110.36256599999999
2015,Nebraska,322,392,$652 ,$856 ,16,19,NE,41.492537,-99.901813
2016,Nebraska,318,388,$697 ,$855 ,18,23,NE,41.492537,-99.901813
2017,Nebraska,311,385,$760 ,$871 ,23,28,NE,41.492537,-99.901813
2018,Nebraska,318,386,$747 ,$931 ,17,26,NE,41.492537,-99.901813
2019,Nebraska,332,391,$786 ,$940 ,22,23,NE,41.492537,-99.901813
2020,Nebraska,337,405,$843 ,"$1,014 ",18,29,NE,41.492537,-99.901813
2015,Nevada,437,573,$660 ,$809 ,13,23,NV,38.802609999999994,-116.419389
2016,Nevada,414,582,$681 ,$828 ,15,23,NV,38.802609999999994,-116.419389
2017,Nevada,451,621,$675 ,$808 ,14,16,NV,38.802609999999994,-116.419389
2018,Nevada,501,653,$720 ,$827 ,13,16,NV,38.802609999999994,-116.419389
2019,Nevada,515,661,$776 ,$920 ,15,19,NV,38.802609999999994,-116.419389
2020,Nevada,449,586,$791 ,$991 ,13,19,NV,38.802609999999994,-116.419389
2015,New Hampshire,219,284,$746 ,$965 ,18,25,NH,43.193852,-71.572395
2016,New Hampshire,230,294,$762 ,"$1,013 ",16,24,NH,43.193852,-71.572395
2017,New Hampshire,225,287,$838 ,"$1,003 ",21,25,NH,43.193852,-71.572395
2018,New Hampshire,234,298,$898 ,"$1,104 ",21,41,NH,43.193852,-71.572395
2019,New Hampshire,238,306,$893 ,"$1,136 ",19,31,NH,43.193852,-71.572395
2020,New Hampshire,234,291,$954 ,"$1,156 ",19,24,NH,43.193852,-71.572395
2015,New Jersey,"1,396","1,812",$874 ,"$1,050 ",18,30,NJ,40.058324,-74.405661
2016,New Jersey,"1,448","1,877",$894 ,"$1,113 ",25,27,NJ,40.058324,-74.405661
2017,New Jersey,"1,486","1,755",$929 ,"$1,138 ",17,23,NJ,40.058324,-74.405661
2018,New Jersey,"1,487","1,834",$933 ,"$1,148 ",16,20,NJ,40.058324,-74.405661
2019,New Jersey,1553,1868,$932 ,"$1,176 ",18,23,NJ,40.058324,-74.405661
2020,New Jersey,"1,421","1,756","$1,041 ","$1,267 ",31,24,NJ,40.058324,-74.405661
2015,New Mexico,286,338,$638 ,$812 ,16,31,NM,34.97273,-105.03236299999999
2016,New Mexico,280,341,$679 ,$772 ,22,24,NM,34.97273,-105.03236299999999
2017,New Mexico,268,354,$701 ,$771 ,16,22,NM,34.97273,-105.03236299999999
2018,New Mexico,293,365,$711 ,$873 ,24,25,NM,34.97273,-105.03236299999999
2019,New Mexico,293,371,$717 ,$891 ,13,21,NM,34.97273,-105.03236299999999
2020,New Mexico,275,343,$801 ,$915 ,24,33,NM,34.97273,-105.03236299999999
2015,New York,"3,147","3,687",$816 ,$939 ,18,13,NY,43.299428000000006,-74.217933
2016,New York,"3,145","3,692",$840 ,$975 ,13,12,NY,43.299428000000006,-74.217933
2017,New York,"3,303","3,817",$850 ,$984 ,15,13,NY,43.299428000000006,-74.217933
2018,New York,"3,230","3,764",$849 ,$993 ,10,14,NY,43.299428000000006,-74.217933
2019,New York,3188,3712,$895 ,"$1,068 ",15,19,NY,43.299428000000006,-74.217933
2020,New York,"2,934","3,378","$1,000 ","$1,183 ",11,18,NY,43.299428000000006,-74.217933
2015,North Carolina,"1,515","1,884",$664 ,$774 ,11,17,NC,35.759572999999996,-79.0193
2016,North Carolina,"1,598","1,935",$704 ,$836 ,11,19,NC,35.759572999999996,-79.0193
2017,North Carolina,"1,655","1,919",$754 ,$874 ,13,19,NC,35.759572999999996,-79.0193
2018,North Carolina,"1,700","1,979",$739 ,$885 ,13,13,NC,35.759572999999996,-79.0193
2019,North Carolina,1711,2019,$770 ,$920 ,11,17,NC,35.759572999999996,-79.0193
2020,North Carolina,"1,609","1,916",$837 ,"$1,032 ",20,22,NC,35.759572999999996,-79.0193
2015,North Dakota,123,166,$682 ,$912 ,16,18,ND,47.551493,-101.002012
2016,North Dakota,131,168,$713 ,$930 ,12,19,ND,47.551493,-101.002012
2017,North Dakota,128,164,$740 ,$952 ,18,18,ND,47.551493,-101.002012
2018,North Dakota,122,161,$749 ,"$1,013 ",16,24,ND,47.551493,-101.002012
2019,North Dakota,128,164,$783 ,"$1,051 ",17,32,ND,47.551493,-101.002012
2020,North Dakota,127,155,$851 ,"$1,065 ",20,22,ND,47.551493,-101.002012
2015,Ohio,"1,723","2,165",$716 ,$882 ,13,14,OH,40.417287,-82.907123
2016,Ohio,"1,717","2,210",$713 ,$899 ,10,17,OH,40.417287,-82.907123
2017,Ohio,"1,801","2,220",$743 ,$908 ,13,15,OH,40.417287,-82.907123
2018,Ohio,"1,822","2,220",$764 ,$965 ,12,17,OH,40.417287,-82.907123
2019,Ohio,1842,2278,$825 ,"$1,014 ",16,17,OH,40.417287,-82.907123
2020,Ohio,"1,708","2,144",$862 ,"$1,052 ",15,22,OH,40.417287,-82.907123
2015,Oklahoma,579,734,$640 ,$831 ,19,26,OK,35.007752,-97.092877
2016,Oklahoma,534,714,$651 ,$824 ,12,22,OK,35.007752,-97.092877
2017,Oklahoma,554,754,$685 ,$859 ,16,25,OK,35.007752,-97.092877
2018,Oklahoma,579,760,$712 ,$946 ,17,19,OK,35.007752,-97.092877
2019,Oklahoma,582,741,$708 ,$926 ,16,22,OK,35.007752,-97.092877
2020,Oklahoma,538,728,$753 ,$942 ,14,18,OK,35.007752,-97.092877
2015,Oregon,527,708,$734 ,$884 ,21,22,OR,43.804133,-120.554201
2016,Oregon,554,772,$791 ,$904 ,24,23,OR,43.804133,-120.554201
2017,Oregon,604,810,$770 ,$945 ,24,22,OR,43.804133,-120.554201
2018,Oregon,598,774,$808 ,$985 ,19,32,OR,43.804133,-120.554201
2019,Oregon,591,818,$836 ,"$1,024 ",27,40,OR,43.804133,-120.554201
2020,Oregon,564,787,$936 ,"$1,121 ",24,39,OR,43.804133,-120.554201
2015,Pennsylvania,"1,960","2,501",$723 ,$922 ,13,15,PA,41.203322,-77.194525
2016,Pennsylvania,"1,984","2,468",$741 ,$956 ,11,12,PA,41.203322,-77.194525
2017,Pennsylvania,"1,985","2,463",$768 ,$971 ,11,17,PA,41.203322,-77.194525
2018,Pennsylvania,"1,991","2,474",$804 ,$998 ,12,15,PA,41.203322,-77.194525
2019,Pennsylvania,2062,2499,$828 ,"$1,069 ",12,18,PA,41.203322,-77.194525
2020,Pennsylvania,"1,922","2,373",$884 ,"$1,111 ",20,19,PA,41.203322,-77.194525
2015,Rhode Island,174,202,$737 ,$926 ,20,28,RI,41.580095,-71.477429
2016,Rhode Island,179,206,$765 ,$907 ,30,21,RI,41.580095,-71.477429
2017,Rhode Island,178,213,$833 ,$956 ,24,32,RI,41.580095,-71.477429
2018,Rhode Island,181,208,$781 ,"$1,088 ",28,32,RI,41.580095,-71.477429
2019,Rhode Island,176,213,$884 ,"$1,057 ",31,57,RI,41.580095,-71.477429
2020,Rhode Island,163,212,$951 ,"$1,112 ",28,35,RI,41.580095,-71.477429
2015,South Carolina,756,881,$642 ,$762 ,11,17,SC,33.836081,-81.163725
2016,South Carolina,773,851,$687 ,$884 ,18,20,SC,33.836081,-81.163725
2017,South Carolina,753,920,$696 ,$898 ,16,20,SC,33.836081,-81.163725
2018,South Carolina,773,919,$739 ,$922 ,13,21,SC,33.836081,-81.163725
2019,South Carolina,873,979,$733 ,$953 ,14,25,SC,33.836081,-81.163725
2020,South Carolina,817,930,$767 ,$988 ,22,23,SC,33.836081,-81.163725
2015,South Dakota,152,167,$624 ,$788 ,10,18,SD,43.969515,-99.901813
2016,South Dakota,137,172,$670 ,$876 ,12,16,SD,43.969515,-99.901813
2017,South Dakota,141,168,$679 ,$858 ,15,19,SD,43.969515,-99.901813
2018,South Dakota,143,169,$731 ,$884 ,11,14,SD,43.969515,-99.901813
2019,South Dakota,144,178,$758 ,$969 ,14,18,SD,43.969515,-99.901813
2020,South Dakota,145,170,$797 ,$936 ,18,20,SD,43.969515,-99.901813
2015,Tennessee,938,"1,257",$647 ,$756 ,15,19,TN,35.517491,-86.58044699999999
2016,Tennessee,983,"1,269",$666 ,$821 ,17,19,TN,35.517491,-86.58044699999999
2017,Tennessee,"1,034","1,257",$704 ,$874 ,17,23,TN,35.517491,-86.58044699999999
2018,Tennessee,"1,051","1,306",$719 ,$894 ,14,21,TN,35.517491,-86.58044699999999
2019,Tennessee,1139,1380,$739 ,$945 ,14,28,TN,35.517491,-86.58044699999999
2020,Tennessee,"1,035","1,249",$760 ,$929 ,18,25,TN,35.517491,-86.58044699999999
2015,Texas,"4,094","5,462",$683 ,$864 ,11,14,TX,31.968598999999998,-99.901813
2016,Texas,"4,197","5,603",$707 ,$860 ,10,12,TX,31.968598999999998,-99.901813
2017,Texas,"4,243","5,675",$734 ,$894 ,9,11,TX,31.968598999999998,-99.901813
2018,Texas,"4,362","5,806",$739 ,$918 ,8,13,TX,31.968598999999998,-99.901813
2019,Texas,4548,5913,$772 ,$954 ,9,14,TX,31.968598999999998,-99.901813
2020,Texas,"4,274","5,608",$875 ,"$1,006 ",13,11,TX,31.968598999999998,-99.901813
2015,Utah,366,626,$660 ,$878 ,19,23,UT,39.32098,-111.093731
2016,Utah,358,640,$668 ,$955 ,16,20,UT,39.32098,-111.093731
2017,Utah,394,650,$692 ,$952 ,14,18,UT,39.32098,-111.093731
2018,Utah,394,641,$729 ,"$1,016 ",15,18,UT,39.32098,-111.093731
2019,Utah,404,664,$755 ,"$1,014 ",12,19,UT,39.32098,-111.093731
2020,Utah,418,656,$782 ,"$1,076 ",20,26,UT,39.32098,-111.093731
2015,Vermont,102,120,$752 ,$902 ,17,23,VT,44.558803000000005,-72.577841
2016,Vermont,104,124,$801 ,$888 ,27,27,VT,44.558803000000005,-72.577841
2017,Vermont,103,124,$816 ,$918 ,24,21,VT,44.558803000000005,-72.577841
2018,Vermont,105,128,$821 ,$954 ,25,24,VT,44.558803000000005,-72.577841
2019,Vermont,111,125,$879 ,"$1,016 ",18,34,VT,44.558803000000005,-72.577841
2020,Vermont,108,109,$886 ,"$1,059 ",20,56,VT,44.558803000000005,-72.577841
2015,Virginia,"1,364","1,675",$825 ,"$1,031 ",29,29,VA,37.431573,-78.656894
2016,Virginia,"1,376","1,649",$809 ,"$1,013 ",22,30,VA,37.431573,-78.656894
2017,Virginia,"1,414","1,720",$844 ,"$1,043 ",20,33,VA,37.431573,-78.656894
2018,Virginia,"1,464","1,812",$851 ,"$1,069 ",21,35,VA,37.431573,-78.656894
2019,Virginia,1464,1811,$928 ,"$1,139 ",26,25,VA,37.431573,-78.656894
2020,Virginia,"1,453","1,728","$1,002 ","$1,260 ",30,28,VA,37.431573,-78.656894
2015,Washington,"1,005","1,398",$797 ,"$1,025 ",22,30,WA,47.751073999999996,-120.74013899999999
2016,Washington,"1,065","1,441",$814 ,"$1,056 ",18,33,WA,47.751073999999996,-120.74013899999999
2017,Washington,"1,066","1,472",$825 ,"$1,093 ",22,27,WA,47.751073999999996,-120.74013899999999
2018,Washington,"1,114","1,571",$860 ,"$1,140 ",29,21,WA,47.751073999999996,-120.74013899999999
2019,Washington,1207,1609,$889 ,"$1,137 ",24,22,WA,47.751073999999996,-120.74013899999999
2020,Washington,"1,139","1,540",$982 ,"$1,224 ",34,33,WA,47.751073999999996,-120.74013899999999
2015,West Virginia,247,305,$640 ,$803 ,17,18,WV,38.597626,-80.454903
2016,West Virginia,248,316,$688 ,$846 ,17,30,WV,38.597626,-80.454903
2017,West Virginia,253,316,$670 ,$830 ,20,22,WV,38.597626,-80.454903
2018,West Virginia,259,316,$662 ,$879 ,16,24,WV,38.597626,-80.454903
2019,West Virginia,262,327,$715 ,$875 ,19,25,WV,38.597626,-80.454903
2020,West Virginia,258,313,$739 ,$907 ,14,16,WV,38.597626,-80.454903
2015,Wisconsin,909,"1,173",$707 ,$920 ,16,24,WI,43.784440000000004,-88.787868
2016,Wisconsin,947,"1,152",$737 ,$940 ,14,20,WI,43.784440000000004,-88.787868
2017,Wisconsin,926,"1,233",$777 ,$936 ,18,21,WI,43.784440000000004,-88.787868
2018,Wisconsin,933,"1,168",$795 ,$985 ,20,19,WI,43.784440000000004,-88.787868
2019,Wisconsin,934,1173,$832 ,"$1,010 ",22,24,WI,43.784440000000004,-88.787868
2020,Wisconsin,880,"1,145",$885 ,"$1,023 ",18,21,WI,43.784440000000004,-88.787868
2015,Wyoming,89,128,$654 ,$948 ,15,25,WY,43.075967999999996,-107.29028400000001
2016,Wyoming,82,117,$699 ,$970 ,22,28,WY,43.075967999999996,-107.29028400000001
2017,Wyoming,82,115,$720 ,"$1,006 ",17,21,WY,43.075967999999996,-107.29028400000001
2018,Wyoming,77,112,$708 ,"$1,044 ",16,35,WY,43.075967999999996,-107.29028400000001
2019,Wyoming,84,113,$762 ,"$1,051 ",19,31,WY,43.075967999999996,-107.29028400000001
2020,Wyoming,84,111,$795 ,"$1,057 ",26,23,WY,43.075967999999996,-107.29028400000001
